campaign_id,promo_id,campaign_name,channel,target_segment,budget,amount_spent,impressions,clicks,conversions,start_date,end_date,status
CAM00017,PR017854,Campaign Assimilated intermediate forec,SMS,Family Shopper,489946,251434.74,12631,34556,3132,2024-04-05,2024-05-27,Completed
CAM00018,PR013728,Campaign Down-sized coherent success,SMS,Family Shopper,4657570,3398265.24,842042,36869,4565,2023-01-11,2023-02-11,Completed
CAM00019,PR012768,Campaign Mandatory maximized toolset,WhatsApp,Impulse Buyer,2897883,2268026.67,206339,14094,762,2022-07-25,2022-08-03,Completed
CAM00020,PR018964,Campaign Customer-focused cohesive core,SMS,Family Shopper,4900635,4666848.01,787371,45574,4060,2022-04-01,2022-05-10,Completed
CAM00021,PR002944,Campaign Horizontal actuating groupware,Email,Budget Shopper,4434385,4389977.33,19521,5900,4590,2023-02-24,2023-03-13,Active
CAM00022,PR006147,Campaign Persistent disintermediate ser,Email,Working Professional,1805626,1022038.87,12834,16795,4465,2023-01-27,2023-04-16,Active
CAM00023,PR009559,Campaign Re-engineered client-server ma,SMS,Frequent Buyer,2610668,2514253.23,25078,26305,1614,2023-03-06,2023-05-25,Completed
CAM00024,PR019358,Campaign Secured value-added interface,In-App,Seasonal Buyer,1204174,583347.88,674954,24695,4258,2024-04-30,2024-05-17,Completed
CAM00025,PR018446,Campaign Digitized 4thgeneration Local ,Push Notification,Impulse Buyer,342827,297123.84,88873,24641,2150,2022-02-17,2022-05-18,Completed
CAM00026,PR013872,Campaign Operative systematic emulation,Email,Family Shopper,1919247,1683539.87,344042,3510,2656,2022-08-05,2022-08-23,Completed
CAM00027,PR010829,Campaign Assimilated 4thgeneration infr,In-App,Working Professional,4765219,2124084.26,444760,21776,1141,2024-01-16,2024-02-10,Completed
CAM00028,PR009544,Campaign Switchable reciprocal function,Push Notification,Fashion Enthusiast,2046076,1824981.8,851979,20812,2619,2022-01-24,2022-02-15,Completed
CAM00029,PR012324,Campaign Realigned zero administration ,Email,Working Professional,850632,442730.11,696125,49667,2490,2023-04-19,2023-05-30,Active
CAM00030,PR001312,Campaign Ergonomic value-added extranet,WhatsApp,Working Professional,2412076,1387188.01,602336,44392,4596,2023-01-16,2023-01-26,Completed
CAM00031,PR001875,Campaign Object-based 4thgeneration met,WhatsApp,Seasonal Buyer,1237698,497879.33,68145,45713,4420,2024-12-08,2024-12-26,Paused
CAM00032,PR013952,Campaign Optional content-based moderat,Email,Fashion Enthusiast,1142956,1017795.21,443607,26798,59,2022-09-01,2022-11-19,Completed
CAM00033,PR012054,Campaign Expanded upward-trending struc,Email,Student,2316715,1137312.68,718374,21615,1926,2023-05-01,2023-06-06,Completed
CAM00034,PR007284,Campaign Optional mobile customer loyal,Email,Fashion Enthusiast,1184041,965835.7,447229,36546,999,2023-04-11,2023-05-13,Completed
CAM00035,PR018986,Campaign Future-proofed homogeneous sta,SMS,Brand Loyalist,4087281,2490917.18,796123,44725,3587,2023-08-20,2023-09-10,Completed
CAM00036,PR013670,Campaign Multi-layered methodical congl,SMS,Luxury Shopper,1810165,1361545.11,132774,43336,1592,2022-07-23,2022-08-26,Completed
CAM00037,PR001976,Campaign Implemented scalable forecast,Email,Frequent Buyer,2235873,2055314.99,788427,49952,2842,2023-03-01,2023-04-26,Completed
CAM00038,PR007764,Campaign Streamlined systemic workforce,WhatsApp,Seasonal Buyer,3557568,2287907.85,616190,23186,1377,2024-06-26,2024-09-20,Completed
CAM00039,PR018558,Campaign Digitized logistical standardi,SMS,Seasonal Buyer,2486736,2278883.96,164340,4910,229,2024-11-26,2025-01-16,Active
CAM00040,PR003934,Campaign Synergized stable concept,SMS,Family Shopper,2753601,1411812.74,485973,16053,530,2024-08-22,2024-09-03,Paused
CAM00041,PR014108,Campaign Future-proofed dedicated open ,In-App,Student,3278178,3274853.5,373412,2734,1771,2024-05-14,2024-07-14,Active
CAM00042,PR006331,Campaign Advanced systematic conglomera,In-App,Frequent Buyer,3513131,1775984.02,509808,38382,4101,2023-06-22,2023-08-09,Completed
CAM00043,PR000188,Campaign Managed impactful service-desk,SMS,Working Professional,4091562,2323049.42,550360,29534,2073,2022-04-11,2022-06-14,Paused
CAM00044,PR007406,Campaign Multi-lateral non-volatile arr,WhatsApp,Seasonal Buyer,465899,447565.45,78382,27996,3676,2023-06-21,2023-08-14,Completed
CAM00045,PR003665,Campaign Visionary fault-tolerant budge,WhatsApp,Budget Shopper,3952265,3453990.63,976738,46750,1266,2023-05-29,2023-07-07,Completed
CAM00046,PR019285,Campaign Optimized asynchronous budgeta,WhatsApp,Frequent Buyer,4533600,2989286.09,843297,11817,4068,2022-06-04,2022-07-19,Paused
CAM00047,PR013827,Campaign Switchable solution-oriented h,WhatsApp,Budget Shopper,2407919,1716178.01,512058,15093,1600,2024-12-25,2025-01-17,Completed
CAM00048,PR016587,Campaign Upgradable client-server appli,Email,Student,494430,336789.43,196984,15324,1414,2022-05-24,2022-07-27,Active
CAM00049,PR004618,Campaign Virtual real-time system engin,Email,Luxury Shopper,2964975,2328745.68,704740,31397,2094,2022-07-30,2022-10-25,Completed
CAM00050,PR004946,Campaign Right-sized 6thgeneration open,Push Notification,Seasonal Buyer,3121711,1568707.73,810566,29709,2246,2024-05-26,2024-07-04,Completed
CAM00051,PR015508,Campaign Progressive encompassing strat,SMS,Brand Loyalist,2070855,963049.93,314068,8313,3565,2022-09-10,2022-11-12,Completed
CAM00052,PR004286,Campaign Business-focused bi-directiona,SMS,Budget Shopper,4330459,3198106.94,150373,43246,636,2023-03-27,2023-04-03,Completed
CAM00053,PR004384,Campaign Virtual asynchronous pricing s,Email,Luxury Shopper,3520027,2989839.22,273219,21459,451,2023-06-27,2023-09-12,Paused
CAM00054,PR019984,Campaign Face-to-face bifurcated protoc,Push Notification,Impulse Buyer,4537856,4145888.6,408851,36060,4381,2023-12-20,2024-01-13,Completed
CAM00055,PR007743,Campaign Business-focused incremental s,SMS,Budget Shopper,4265616,2999808.6,725232,42882,886,2024-01-01,2024-03-26,Completed
CAM00056,PR007728,Campaign Right-sized value-added focus ,In-App,Budget Shopper,3239764,2569236.37,264861,35176,3738,2023-10-25,2023-12-20,Completed
CAM00057,PR018563,Campaign Reverse-engineered attitude-or,In-App,Student,1061321,864054.08,930943,2379,1936,2023-09-24,2023-12-10,Completed
CAM00058,PR003977,Campaign Extended scalable implementati,WhatsApp,Frequent Buyer,4164492,3874420.2,149568,37732,426,2022-09-16,2022-10-24,Completed
CAM00059,PR011831,Campaign Reactive 24/7 strategy,In-App,Luxury Shopper,4643572,2070174.98,319921,28939,4566,2022-12-09,2023-03-07,Active
CAM00060,PR009456,Campaign User-centric zero administrati,In-App,Working Professional,2896976,2151064.54,481403,6777,3807,2023-12-02,2024-02-13,Active
CAM00061,PR000509,Campaign Phased optimal application,WhatsApp,Budget Shopper,3083480,2144656.61,24662,43706,3313,2024-11-21,2025-01-21,Active
CAM00062,PR011846,Campaign Multi-layered regional conglom,Email,Budget Shopper,1833655,1018012.19,108527,16929,3559,2024-01-28,2024-03-15,Completed
CAM00063,PR013614,Campaign Proactive impactful projection,Push Notification,Brand Loyalist,2904318,2073913.84,806001,46515,3635,2023-03-28,2023-04-09,Completed
CAM00064,PR007514,Campaign Face-to-face motivating matric,Push Notification,Student,4223033,3561852.27,825389,19861,4962,2022-10-25,2022-12-10,Completed
CAM00065,PR005536,Campaign Vision-oriented tertiary hub,In-App,Fashion Enthusiast,664360,372140.73,533786,12269,1249,2022-03-16,2022-05-03,Completed
CAM00066,PR013630,Campaign Persevering tertiary hub,SMS,Impulse Buyer,4262263,3811786.01,913804,36952,4869,2024-07-22,2024-10-11,Completed
CAM00067,PR018417,Campaign Devolved well-modulated firmwa,SMS,Brand Loyalist,4778306,4427311.21,20187,10350,1870,2022-06-23,2022-07-17,Completed
CAM00068,PR015420,Campaign Pre-emptive tangible moderator,Push Notification,Budget Shopper,3709576,2129266.91,344294,31982,1599,2022-07-11,2022-09-22,Active
CAM00069,PR012593,Campaign Ergonomic responsive support,WhatsApp,Student,831664,669752.95,456606,44815,301,2024-01-17,2024-02-03,Completed
CAM00070,PR006178,Campaign Focused holistic array,WhatsApp,Impulse Buyer,1811330,1347957.18,251013,12232,635,2023-08-05,2023-09-01,Active
CAM00071,PR015088,Campaign Balanced 24hour complexity,Email,Brand Loyalist,142251,138995.31,847125,41080,4972,2023-09-11,2023-09-29,Completed
CAM00072,PR018213,Campaign Total responsive archive,Push Notification,Budget Shopper,4286502,1775145.17,329627,26540,3546,2023-02-08,2023-02-15,Active
CAM00073,PR002984,Campaign Multi-lateral didactic definit,SMS,Student,2713618,1849903.49,445165,42147,4583,2022-04-24,2022-05-18,Completed
CAM00074,PR017980,Campaign Decentralized didactic project,In-App,Family Shopper,1283383,1067475.57,63647,27972,1642,2022-06-08,2022-06-20,Completed
CAM00075,PR010057,Campaign Innovative full-range Internet,In-App,Family Shopper,2767720,2100878.04,733804,9401,83,2023-03-25,2023-04-05,Completed
CAM00076,PR004064,Campaign Integrated systemic throughput,SMS,Impulse Buyer,3864016,2079372.92,240095,16760,1333,2023-01-12,2023-03-16,Active
CAM00077,PR009604,Campaign Mandatory heuristic model,SMS,Brand Loyalist,456611,196960.31,772573,16682,2014,2022-09-06,2022-11-09,Active
CAM00078,PR002965,Campaign Vision-oriented radical artifi,Push Notification,Impulse Buyer,3928588,3813439.27,528242,39825,2842,2022-10-19,2022-11-04,Active
CAM00079,PR007727,Campaign Customer-focused logistical ti,Email,Student,3440137,2363450.69,156861,5316,1699,2022-12-11,2023-01-30,Completed
CAM00080,PR007571,Campaign Expanded dynamic strategy,Push Notification,Brand Loyalist,3159333,2049763.92,239042,14245,3682,2023-10-30,2023-12-24,Completed
CAM00081,PR001769,Campaign Enterprise-wide zero tolerance,In-App,Impulse Buyer,1790499,1253872.52,77727,33263,4834,2022-04-30,2022-05-24,Paused
CAM00082,PR004149,Campaign Enterprise-wide heuristic matr,WhatsApp,Fashion Enthusiast,233849,136482.3,223113,23900,1068,2022-09-09,2022-11-29,Paused
CAM00083,PR007359,Campaign Distributed empowering paralle,Email,Family Shopper,322829,198848.17,291753,41727,744,2024-10-15,2024-11-05,Completed
CAM00084,PR017801,Campaign Reverse-engineered 24hour solu,WhatsApp,Impulse Buyer,1839546,1324761.62,978641,12387,2080,2022-05-17,2022-06-14,Completed
CAM00085,PR010769,Campaign Optional fresh-thinking produc,In-App,Student,259258,217378.79,707586,31673,1198,2024-11-13,2024-12-05,Active
CAM00086,PR012986,Campaign Innovative system-worthy custo,SMS,Student,4822801,2709863.39,202686,49095,3219,2023-02-18,2023-03-15,Completed
CAM00087,PR004269,Campaign Secured attitude-oriented pric,WhatsApp,Seasonal Buyer,1644546,1134546.19,80358,2388,3657,2023-05-26,2023-07-28,Completed
CAM00088,PR006688,Campaign Down-sized national access,In-App,Frequent Buyer,4124298,2958580.79,502934,37212,469,2024-02-22,2024-04-09,Completed
CAM00089,PR012273,Campaign Fully-configurable transitiona,SMS,Fashion Enthusiast,1309886,1080619.62,668371,36027,3046,2023-08-12,2023-09-03,Completed
CAM00090,PR018196,Campaign Polarized tertiary toolset,Email,Family Shopper,822376,590287.39,547421,33341,391,2024-02-14,2024-05-10,Active
CAM00091,PR002085,Campaign Adaptive disintermediate extra,Email,Seasonal Buyer,4518161,2121502.6,858612,33112,2892,2024-02-06,2024-05-01,Active
CAM00092,PR018635,Campaign Ameliorated 4thgeneration stru,WhatsApp,Frequent Buyer,905391,692187.43,687556,4244,4873,2023-01-19,2023-02-20,Paused
CAM00093,PR010907,Campaign Polarized zero administration ,Push Notification,Frequent Buyer,3937435,2950445.46,243052,7546,3115,2023-09-02,2023-11-06,Completed
CAM00094,PR008035,Campaign Face-to-face upward-trending t,Push Notification,Student,2597606,2505596.33,697123,7339,1828,2023-12-22,2024-01-24,Active
CAM00095,PR012224,Campaign Customer-focused composite art,WhatsApp,Frequent Buyer,4915104,3829194.12,176582,38469,3460,2024-03-05,2024-03-31,Paused
CAM00096,PR013188,Campaign Assimilated intangible paralle,In-App,Budget Shopper,1556101,1118782.3,77884,42069,2451,2023-07-26,2023-08-15,Active
CAM00097,PR013563,Campaign Seamless client-driven capacit,WhatsApp,Student,2641873,2260627.83,732780,36181,213,2024-11-27,2025-01-09,Active
CAM00098,PR006792,Campaign Re-contextualized solution-ori,WhatsApp,Impulse Buyer,54929,23476.01,162668,7664,169,2023-12-05,2024-02-26,Completed
CAM00099,PR004609,Campaign Multi-channeled value-added ap,Email,Brand Loyalist,760567,478552.99,832070,23152,152,2024-10-30,2024-12-06,Completed
CAM00100,PR003486,Campaign Re-contextualized multi-taskin,In-App,Frequent Buyer,1651646,1337290.47,839608,48946,2516,2023-02-22,2023-03-25,Active
CAM00101,PR019330,Campaign Universal didactic algorithm,Email,Family Shopper,4743712,1963978.79,551873,22036,3727,2023-10-21,2024-01-12,Paused
CAM00102,PR014933,Campaign Extended reciprocal service-de,In-App,Brand Loyalist,3215643,2073146.42,508795,29294,2128,2023-12-11,2024-01-07,Active
CAM00103,PR000255,Campaign Optional high-level contingenc,SMS,Budget Shopper,1665860,1172348.61,403945,11980,1067,2022-05-21,2022-07-05,Completed
CAM00104,PR004462,Campaign Open-architected secondary ini,Push Notification,Impulse Buyer,3117381,2940817.1,551459,48170,3150,2023-10-09,2023-11-21,Completed
CAM00105,PR011391,Campaign Profound dynamic algorithm,Push Notification,Budget Shopper,2857446,1256741.53,498695,47430,1540,2023-07-07,2023-09-03,Active
CAM00106,PR014353,Campaign Switchable national knowledge ,Push Notification,Brand Loyalist,3081447,1304033.93,55067,3365,1130,2024-03-13,2024-05-25,Active
CAM00107,PR005048,Campaign Adaptive foreground adapter,Push Notification,Student,590425,545460.62,60764,29409,512,2022-08-25,2022-09-12,Completed
CAM00108,PR012255,Campaign Profound neutral knowledgebase,In-App,Budget Shopper,4923620,2813722.97,870865,25432,3453,2022-10-12,2023-01-08,Completed
CAM00109,PR001297,Campaign Inverse systemic workforce,Push Notification,Working Professional,4652895,2210777.71,403275,28187,289,2024-03-15,2024-03-25,Completed
CAM00110,PR003567,Campaign Multi-channeled non-volatile i,Email,Frequent Buyer,3061739,2199250.51,674802,7492,286,2022-10-08,2022-12-16,Paused
CAM00111,PR016854,Campaign Proactive logistical throughpu,Push Notification,Seasonal Buyer,3529488,3344710.67,247096,39265,2448,2024-11-03,2024-12-04,Completed
CAM00112,PR002183,Campaign Upgradable intermediate instru,Email,Luxury Shopper,3551261,3440539.97,929465,5755,1225,2023-07-18,2023-09-09,Completed
CAM00113,PR019435,Campaign Sharable global methodology,SMS,Frequent Buyer,2958375,2393641.43,92133,42181,2547,2023-12-20,2024-03-10,Active
CAM00114,PR009024,Campaign Compatible bifurcated artifici,SMS,Budget Shopper,2652718,2086472.02,838570,38888,805,2022-01-19,2022-02-16,Completed
CAM00115,PR012076,Campaign Cloned clear-thinking producti,In-App,Frequent Buyer,3521127,1604673.99,753785,43016,3998,2023-05-29,2023-07-29,Completed
CAM00116,PR010601,Campaign Reverse-engineered reciprocal ,Push Notification,Fashion Enthusiast,184728,160877.18,246173,22391,840,2024-06-24,2024-07-10,Completed
CAM00117,PR014678,Campaign Intuitive directional migratio,In-App,Budget Shopper,4193717,3028965.26,339288,15609,231,2024-10-16,2024-12-10,Completed
CAM00118,PR017438,Campaign Fully-configurable leadingedge,WhatsApp,Impulse Buyer,4086950,2404783.6,662838,28392,123,2024-09-17,2024-11-12,Active
CAM00119,PR014824,Campaign Synergized mission-critical pr,SMS,Family Shopper,2977960,2190998.82,493314,25735,2219,2022-12-02,2022-12-12,Active
CAM00120,PR016445,Campaign Configurable regional function,In-App,Fashion Enthusiast,974707,954309.06,313436,49290,1360,2023-09-10,2023-11-17,Completed
CAM00121,PR016040,Campaign Multi-lateral user-facing know,WhatsApp,Seasonal Buyer,1024966,664894.88,935618,36361,4716,2022-11-04,2022-12-17,Completed
CAM00122,PR008253,Campaign Re-contextualized next generat,SMS,Brand Loyalist,3282102,2909527.95,416202,16707,1575,2022-05-28,2022-06-29,Completed
CAM00123,PR003545,Campaign Focused secondary database,In-App,Student,2156764,2121586.38,280592,44485,604,2022-05-11,2022-05-22,Completed
CAM00124,PR015316,Campaign Multi-channeled intangible att,In-App,Fashion Enthusiast,3926774,3666059.33,399982,1882,4515,2022-02-08,2022-04-12,Completed
CAM00125,PR006222,Campaign Devolved demand-driven synergy,Email,Family Shopper,3442228,1521689.18,590208,4277,3261,2024-12-24,2025-01-24,Completed
CAM00126,PR007519,Campaign Virtual explicit strategy,SMS,Impulse Buyer,1138966,840215.14,634741,35183,1343,2022-11-17,2023-01-03,Completed
CAM00127,PR014790,Campaign Progressive web-enabled hardwa,Email,Student,2221919,1391879.02,974253,16817,2922,2022-10-18,2022-11-23,Active
CAM00128,PR002063,Campaign Fundamental motivating capacit,WhatsApp,Luxury Shopper,2633841,1516860.94,396989,25156,4583,2024-11-03,2024-12-03,Completed
CAM00129,PR001839,Campaign Triple-buffered responsive hub,Email,Seasonal Buyer,2483962,2281077.69,259419,42363,1918,2022-01-17,2022-01-31,Paused
CAM00130,PR000024,Campaign Expanded 24/7 hierarchy,WhatsApp,Budget Shopper,3000613,2933597.58,814891,520,692,2024-01-04,2024-04-03,Completed
CAM00131,PR019858,Campaign Open-architected mission-criti,Email,Impulse Buyer,4190505,3818621.58,243960,13641,1542,2022-12-16,2023-01-28,Completed
CAM00132,PR015386,Campaign Self-enabling maximized parall,In-App,Working Professional,3216529,2386035.05,77219,35764,296,2022-03-28,2022-04-05,Completed
CAM00133,PR015193,Campaign Customizable asymmetric softwa,WhatsApp,Working Professional,1983790,1707656.7,574573,7619,258,2022-02-14,2022-03-16,Active
CAM00134,PR014693,Campaign Mandatory maximized approach,In-App,Fashion Enthusiast,1300465,929866.24,305837,18395,4578,2024-06-26,2024-09-12,Completed
CAM00135,PR016915,Campaign Operative contextually-based p,SMS,Family Shopper,4311996,2679128.91,652299,16926,2679,2023-07-11,2023-09-06,Completed
CAM00136,PR007688,Campaign Persistent uniform system engi,In-App,Working Professional,3900071,2788194.4,284602,40133,4084,2023-04-13,2023-06-27,Completed
CAM00137,PR016827,Campaign Decentralized full-range algor,In-App,Brand Loyalist,110838,46242.79,884731,14455,4769,2024-04-24,2024-07-16,Active
CAM00138,PR010893,Campaign Managed dedicated knowledge us,In-App,Frequent Buyer,544337,255411.77,830582,7203,2595,2022-04-15,2022-05-28,Completed
CAM00139,PR005817,Campaign Ergonomic non-volatile product,SMS,Family Shopper,780833,575868.3,773917,22860,4491,2023-03-16,2023-05-10,Completed
CAM00140,PR003544,Campaign Seamless scalable initiative,SMS,Brand Loyalist,3418050,3378442.95,179880,37386,1409,2024-04-29,2024-06-18,Completed
CAM00141,PR017259,Campaign Extended didactic moratorium,Email,Luxury Shopper,1730855,828027.03,136380,25769,1405,2022-11-27,2023-02-13,Completed
CAM00142,PR011969,Campaign Organized uniform pricing stru,WhatsApp,Working Professional,4739832,2113208.29,221305,30692,3076,2022-12-21,2023-02-13,Completed
CAM00143,PR011333,Campaign Total attitude-oriented challe,Email,Brand Loyalist,3977102,3712935.56,161867,43076,3949,2023-02-21,2023-05-06,Active
CAM00144,PR015128,Campaign Organic client-server Graphica,SMS,Impulse Buyer,4577418,2149129.1,507172,34733,2519,2022-06-08,2022-06-30,Active
CAM00145,PR017507,Campaign Enterprise-wide optimal allian,WhatsApp,Working Professional,2578950,2046132.07,633385,31564,2239,2024-06-12,2024-07-01,Active
CAM00146,PR011743,Campaign Extended value-added challenge,SMS,Brand Loyalist,891681,644279.5,438075,40320,4112,2022-02-08,2022-03-27,Completed
CAM00147,PR011671,Campaign Networked even-keeled analyzer,Email,Family Shopper,4358605,2209238.31,284111,39356,1653,2022-06-08,2022-07-12,Completed
CAM00148,PR014129,Campaign Devolved next generation morat,SMS,Student,1806240,1538832.18,900169,43392,1815,2023-07-07,2023-07-25,Active
CAM00149,PR006447,Campaign Exclusive neutral time-frame,WhatsApp,Working Professional,3601389,3593493.11,522722,6232,1786,2023-08-28,2023-10-03,Completed
CAM00150,PR015889,Campaign Self-enabling motivating defin,WhatsApp,Working Professional,4757053,4144554.46,230778,31975,4147,2022-10-18,2022-10-30,Completed
CAM00151,PR011449,Campaign De-engineered static task-forc,Push Notification,Budget Shopper,1665553,856149.3,613838,36150,4013,2023-04-21,2023-06-30,Completed
CAM00152,PR011887,Campaign Enterprise-wide asynchronous s,Email,Budget Shopper,3555984,2922997.08,414371,8999,1600,2024-12-12,2025-02-03,Completed
CAM00153,PR014796,Campaign Reactive tangible collaboratio,In-App,Student,1354625,699757.41,927626,39810,319,2023-12-16,2024-01-09,Paused
CAM00154,PR004527,Campaign Diverse client-driven hub,Email,Student,3937328,3113112.24,771948,43405,1182,2024-10-30,2024-12-13,Completed
CAM00155,PR014681,Campaign Front-line reciprocal encrypti,In-App,Working Professional,2750747,2459857.19,937827,1563,687,2024-03-02,2024-04-03,Completed
CAM00156,PR005253,Campaign Cloned tertiary middleware,SMS,Budget Shopper,4933382,3520801.17,25945,20524,1450,2022-08-21,2022-11-03,Active
CAM00157,PR018427,Campaign Future-proofed intermediate pa,Email,Impulse Buyer,142416,68164.83,941154,40986,2654,2024-05-24,2024-07-25,Active
CAM00158,PR006564,Campaign Reverse-engineered client-serv,Push Notification,Student,3524017,1521948.85,281260,32854,601,2022-06-15,2022-08-11,Completed
CAM00159,PR000493,Campaign Devolved stable attitude,SMS,Budget Shopper,110129,69885.18,627989,20918,3281,2022-09-22,2022-11-01,Paused
CAM00160,PR013284,Campaign Pre-emptive maximized synergy,SMS,Family Shopper,105201,88796.35,56680,7308,3178,2023-02-05,2023-04-05,Active
CAM00161,PR000762,Campaign Quality-focused 6thgeneration ,WhatsApp,Family Shopper,2192962,1189895.06,26540,14790,3773,2024-03-16,2024-04-26,Completed
CAM00162,PR000365,Campaign Networked user-facing data-war,Push Notification,Impulse Buyer,4836742,4472807.44,843876,18266,3556,2024-10-12,2024-11-11,Completed
CAM00163,PR002351,Campaign Grass-roots bandwidth-monitore,In-App,Frequent Buyer,1553335,1083683.53,208504,25308,2718,2022-03-11,2022-06-07,Completed
CAM00164,PR013797,Campaign Enhanced mobile Graphical User,Push Notification,Seasonal Buyer,3141124,1725331.67,734844,43880,2382,2022-05-22,2022-06-01,Active
CAM00165,PR004713,Campaign Monitored secondary pricing st,Push Notification,Budget Shopper,660370,342952.82,120196,14891,3850,2024-08-10,2024-09-11,Completed
CAM00166,PR000856,Campaign Object-based impactful project,Email,Student,3422297,3164973.11,916893,28969,150,2022-03-20,2022-04-10,Completed
CAM00167,PR012408,Campaign Versatile dynamic infrastructu,Push Notification,Working Professional,3355477,1927245.79,740503,42511,2041,2024-02-13,2024-03-22,Active
CAM00168,PR009838,Campaign Digitized even-keeled conglome,SMS,Fashion Enthusiast,1567209,899325.66,689135,37505,26,2024-07-09,2024-07-18,Paused
CAM00169,PR016928,Campaign Profit-focused cohesive firmwa,WhatsApp,Impulse Buyer,4069532,3786427.26,227868,5272,3250,2024-02-28,2024-03-24,Active
CAM00170,PR009395,Campaign Networked regional toolset,Email,Luxury Shopper,447312,386058.83,358003,20412,718,2022-05-24,2022-07-05,Completed
CAM00171,PR001657,Campaign User-friendly asynchronous pro,Email,Luxury Shopper,1594807,1216860.7,563959,39646,4052,2023-09-08,2023-09-29,Completed
CAM00172,PR007613,Campaign Versatile web-enabled budgetar,WhatsApp,Working Professional,468954,376952.14,850950,33834,551,2022-04-12,2022-04-30,Active
CAM00173,PR002507,Campaign Realigned attitude-oriented ta,Push Notification,Working Professional,4419830,3595320.81,74962,28139,1047,2022-05-15,2022-07-03,Completed
CAM00174,PR013700,Campaign Organic asynchronous function,Email,Brand Loyalist,4726955,4312158.37,964155,17120,3060,2023-07-24,2023-10-04,Active
CAM00175,PR018483,Campaign Ameliorated next generation ad,WhatsApp,Budget Shopper,2281699,1103498.01,38771,6230,4228,2024-02-09,2024-03-07,Completed
CAM00176,PR004743,Campaign Operative tangible artificial ,Push Notification,Student,3142481,2538059.07,900710,20547,1316,2022-07-31,2022-09-13,Active
CAM00177,PR012990,Campaign Total motivating hierarchy,WhatsApp,Frequent Buyer,400993,201199.41,529521,26057,1046,2023-07-09,2023-07-17,Completed
CAM00178,PR018440,Campaign User-centric modular complexit,Push Notification,Fashion Enthusiast,2253309,1388238.64,175874,40027,4054,2024-06-15,2024-08-07,Active
CAM00179,PR000154,Campaign Extended scalable knowledgebas,WhatsApp,Budget Shopper,4525826,2605989.3,538204,14761,4451,2024-06-28,2024-07-23,Completed
CAM00180,PR001512,Campaign Fundamental responsive strateg,Push Notification,Student,4436145,2052880.11,936628,28137,1342,2022-09-03,2022-09-27,Completed
CAM00181,PR006859,Campaign Cloned asynchronous groupware,Push Notification,Budget Shopper,845960,797508.02,388596,28553,2828,2024-02-03,2024-03-25,Active
CAM00182,PR015019,Campaign User-friendly mobile open arch,WhatsApp,Family Shopper,2059920,1742392.29,576482,34735,4054,2024-01-31,2024-04-17,Completed
CAM00183,PR003217,Campaign Secured zero-defect functional,Push Notification,Luxury Shopper,4397882,2504688.58,648542,8581,524,2023-02-18,2023-02-26,Active
