product_id,product_name,category,sub_category,brand,color,size,style_tag,season,price,mrp,cost_price,launch_date,is_active,supplier_id,weight_grams
P00077,Marks & Spencer Jacket White,Outerwear,Jacket,Marks & Spencer,Mustard,S,party,All Season,1952,2369.46,995.71,2024-03-10,True,SUP0326,1938
P00078,H&M Thermal Innerwear Beige,Innerwear,Thermal Innerwear,H&M,Navy,XS,formal,Monsoon,229,291.99,129.12,2020-02-24,True,SUP0138,1679
P00079,Biba Coat Black,Outerwear,Coat,Biba,Mint,Free Size,party,Summer,12296,15530.14,4625.42,2023-11-18,True,SUP0072,1016
P00080,All About You Leggings Black,Bottoms,Leggings,All About You,Red,S,office,All Season,1761,2085.53,840.54,2021-10-07,True,SUP0123,497
P00081,Libas Belt Cream,Accessories,Belt,Libas,Orange,S,bohemian,Festive,3971,4814.44,2047.2,2022-07-08,False,SUP0018,690
P00082,Adidas Wallet Olive,Accessories,Wallet,Adidas,Purple,XL,luxury,All Season,4962,7326.4,2876.19,2022-05-20,True,SUP0312,1319
P00083,Mango Sherwani Green,Ethnic Wear,Sherwani,Mango,Coral,L,party,Summer,2234,3047.56,1240.1,2024-03-14,True,SUP0161,1725
P00084,Vero Moda Chinos Teal,Bottoms,Chinos,Vero Moda,Mint,M,streetwear,Festive,968,1337.31,338.93,2023-05-04,True,SUP0101,443
P00085,Arrow Socks Blue,Innerwear,Socks,Arrow,Navy,XL,office,Monsoon,538,608.42,249.55,2022-07-26,True,SUP0230,1048
P00086,Cover Story Handbag Beige,Accessories,Handbag,Cover Story,Navy,XXL,formal,Summer,4071,4760.77,1757.47,2022-11-30,False,SUP0135,1604
P00087,Libas Jacket Teal,Outerwear,Jacket,Libas,Mint,S,ethnic,All Season,8835,10001.34,4252.99,2023-02-08,True,SUP0126,776
P00088,Global Desi Skirt White,Bottoms,Skirt,Global Desi,Purple,XXL,office,Winter,3841,4263.27,1352.42,2023-12-28,True,SUP0194,1350
P00089,Roadster Trousers Navy,Bottoms,Trousers,Roadster,Yellow,M,office,Festive,1330,1963.2,788.21,2021-06-12,True,SUP0130,561
P00090,Dressberry Running Shoes Mustard,Activewear,Running Shoes,Dressberry,Yellow,L,streetwear,All Season,4931,6003.08,2913.77,2021-08-04,True,SUP0223,329
P00091,Lee Casual Dress Coral,Dresses,Casual Dress,Lee,Green,M,streetwear,Summer,831,1227.46,330.58,2023-01-13,True,SUP0267,647
P00092,Koovs Cap Navy,Accessories,Cap,Koovs,Brown,S,office,Summer,3368,4687.12,1809.89,2020-06-12,True,SUP0040,112
P00093,Zara Hoodie Red,Tops,Hoodie,Zara,Brown,Free Size,casual,All Season,4636,5317.58,2534.55,2021-02-26,True,SUP0337,1392
P00094,Aurelia Sherwani Navy,Ethnic Wear,Sherwani,Aurelia,Red,XL,casual,All Season,2294,3344.14,1009.08,2022-11-09,True,SUP0116,402
P00095,FabIndia Bra Coral,Innerwear,Bra,FabIndia,Mint,Free Size,streetwear,Winter,387,470.14,152.07,2023-09-04,True,SUP0136,1355
P00096,Mamaearth Sandals Red,Footwear,Sandals,Mamaearth,Purple,Free Size,casual,All Season,4401,5027.04,2271.61,2021-10-15,True,SUP0281,1690
P00097,Peter England Track Pants Orange,Activewear,Track Pants,Peter England,Red,M,streetwear,Monsoon,3193,4230.78,1857.12,2024-03-17,True,SUP0075,1436
P00098,Spykar Mini Dress Mustard,Dresses,Mini Dress,Spykar,Purple,XS,party,All Season,9979,11155.79,5805.26,2022-05-03,True,SUP0128,503
P00099,Arrow Jacket Orange,Outerwear,Jacket,Arrow,Mustard,XXL,sporty,Summer,10840,12445.04,4374.67,2023-09-17,True,SUP0391,926
P00100,Pepe Jeans Joggers Blue,Bottoms,Joggers,Pepe Jeans,Navy,M,ethnic,Monsoon,4532,5364.72,1910.09,2022-01-08,True,SUP0002,1119
P00101,Adidas Kurta Navy,Ethnic Wear,Kurta,Adidas,Orange,M,casual,Winter,2768,3045.47,1296.62,2022-08-20,True,SUP0079,1326
P00102,Aurelia Salwar Suit White,Dresses,Salwar Suit,Aurelia,Coral,L,bohemian,All Season,5230,7221.58,2948.52,2021-03-17,True,SUP0008,1044
P00103,Spykar Salwar Suit Mustard,Dresses,Salwar Suit,Spykar,Orange,L,sporty,Monsoon,10140,13637.75,4031.28,2021-01-09,True,SUP0135,768
P00104,Vero Moda Kurti White,Tops,Kurti,Vero Moda,Red,XXL,ethnic,Festive,4719,6621.69,1671.78,2022-03-11,True,SUP0147,431
P00105,LIFE Boxers Pink,Innerwear,Boxers,LIFE,Blue,XL,ethnic,Summer,261,289.53,117.96,2020-08-26,True,SUP0056,1269
P00106,All About You Skirt Maroon,Bottoms,Skirt,All About You,Red,L,streetwear,Winter,3533,4415.38,1988.27,2021-01-24,True,SUP0081,666
P00107,Global Desi Handbag Mint,Accessories,Handbag,Global Desi,Pink,XS,bohemian,All Season,420,550.99,168.51,2020-10-02,True,SUP0267,1966
P00108,Zara Scarf Black,Accessories,Scarf,Zara,Green,L,sporty,Winter,3936,4348.92,2200.16,2022-05-25,True,SUP0212,910
P00109,U.S. Polo Kurta Navy,Ethnic Wear,Kurta,U.S. Polo,Mustard,Free Size,formal,All Season,208,237.73,89.8,2023-11-01,True,SUP0094,746
P00110,Global Desi Boots Coral,Footwear,Boots,Global Desi,Olive,XS,party,All Season,1674,1961.57,970.64,2021-01-27,True,SUP0001,270
P00111,Koovs Handbag Teal,Accessories,Handbag,Koovs,Teal,Free Size,minimalist,Monsoon,7054,8553.11,3022.29,2023-01-01,True,SUP0346,563
P00112,Louis Philippe Salwar Suit Grey,Dresses,Salwar Suit,Louis Philippe,Orange,M,bohemian,All Season,7793,10190.18,4079.23,2022-07-23,False,SUP0175,802
P00113,Nykaa Fashion Track Pants White,Activewear,Track Pants,Nykaa Fashion,Coral,XXL,streetwear,Festive,2327,2982.96,1211.52,2022-01-09,True,SUP0275,503
P00114,Dressberry Sherwani Blue,Ethnic Wear,Sherwani,Dressberry,Teal,S,bohemian,Monsoon,3208,3576.17,1622.64,2022-09-02,False,SUP0365,1365
P00115,Numero Uno Thermal Innerwear Mint,Innerwear,Thermal Innerwear,Numero Uno,Green,Free Size,luxury,Monsoon,667,789.25,359.51,2021-11-13,True,SUP0357,232
P00116,U.S. Polo Briefs Coral,Innerwear,Briefs,U.S. Polo,Mustard,L,bohemian,Summer,305,420.92,111.72,2021-08-17,True,SUP0219,1109
P00117,True Blue Evening Gown Orange,Dresses,Evening Gown,True Blue,White,XL,casual,Winter,3768,4249.2,1515.91,2022-04-13,True,SUP0020,1646
P00118,Wrangler Denim Jacket Yellow,Outerwear,Denim Jacket,Wrangler,Navy,L,ethnic,Summer,11440,15735.46,6754.17,2020-06-09,True,SUP0108,203
P00119,Decathlon Sweatshirt Olive,Tops,Sweatshirt,Decathlon,Beige,Free Size,sporty,Monsoon,4654,6074.04,1751.96,2023-07-07,True,SUP0315,571
P00120,Cover Story Denim Jacket Mint,Outerwear,Denim Jacket,Cover Story,Blue,Free Size,office,Winter,885,1269.71,524.79,2020-07-18,False,SUP0378,589
P00121,Reebok Handbag Mustard,Accessories,Handbag,Reebok,Olive,L,streetwear,Winter,4882,7120.98,2818.82,2023-04-04,True,SUP0214,193
P00122,Myntra Puffer Jacket Red,Outerwear,Puffer Jacket,Myntra,Purple,XL,bohemian,All Season,10065,12118.91,4638.33,2021-04-04,False,SUP0214,471
P00123,Spykar Blazer Blue,Outerwear,Blazer,Spykar,Cream,M,party,Summer,2953,3904.83,1322.71,2022-04-29,False,SUP0200,1264
P00124,Bewakoof Hoodie Brown,Tops,Hoodie,Bewakoof,Orange,Free Size,minimalist,All Season,2400,3410.58,1165.65,2024-04-12,True,SUP0219,559
P00125,Calvin Klein Socks Olive,Innerwear,Socks,Calvin Klein,Blue,XL,formal,All Season,709,941.4,255.29,2021-07-20,True,SUP0193,1214
P00126,H&M Shirt Mustard,Tops,Shirt,H&M,Red,XL,casual,Festive,875,991.78,518.91,2020-12-24,True,SUP0013,1710
P00127,Peter England Boxers Coral,Innerwear,Boxers,Peter England,Olive,S,formal,Monsoon,367,526.5,215.35,2021-09-21,True,SUP0119,822
P00128,Reebok Puffer Jacket Purple,Outerwear,Puffer Jacket,Reebok,Blue,L,bohemian,Monsoon,5199,5828.71,2542.21,2021-01-06,True,SUP0337,1531
P00129,Libas Thermal Innerwear Blue,Innerwear,Thermal Innerwear,Libas,Orange,XL,sporty,All Season,287,387.43,156.68,2023-09-13,False,SUP0154,760
P00130,FabIndia Hoodie Olive,Tops,Hoodie,FabIndia,Green,M,formal,Winter,555,696.41,249.95,2023-07-09,True,SUP0126,216
P00131,Biba Blouse Beige,Tops,Blouse,Biba,Maroon,XL,minimalist,Monsoon,3524,5179.61,1404.99,2023-12-08,True,SUP0196,1841
P00132,Adidas Evening Gown Pink,Dresses,Evening Gown,Adidas,Coral,XXL,casual,Festive,4264,4955.52,2223.32,2022-12-14,True,SUP0288,1094
P00133,H&M Flats Teal,Footwear,Flats,H&M,Grey,S,bohemian,Winter,5393,6970.31,3136.07,2020-10-06,True,SUP0105,304
P00134,U.S. Polo Boots Grey,Footwear,Boots,U.S. Polo,Yellow,XXL,luxury,All Season,1330,1777.31,538.0,2024-01-01,False,SUP0244,1521
P00135,Numero Uno Oxford Brown,Footwear,Oxford,Numero Uno,Maroon,Free Size,bohemian,Winter,5657,7758.47,3219.75,2022-05-28,True,SUP0286,637
P00136,W Sweatshirt Beige,Tops,Sweatshirt,W,Green,XS,sporty,All Season,1667,2240.24,611.37,2022-07-03,True,SUP0085,1549
P00137,Cover Story Kurta Teal,Ethnic Wear,Kurta,Cover Story,Brown,L,luxury,Summer,4906,6301.66,2605.25,2023-12-19,True,SUP0189,680
P00138,Bewakoof Crop Top Purple,Tops,Crop Top,Bewakoof,White,S,luxury,Winter,2510,3313.22,904.6,2020-03-26,True,SUP0392,681
P00139,Dressberry Jacket Navy,Outerwear,Jacket,Dressberry,Olive,S,streetwear,Summer,13360,18246.62,5154.24,2020-08-15,True,SUP0200,366
P00140,Reebok Boxers Black,Innerwear,Boxers,Reebok,Cream,L,office,Festive,775,865.02,371.54,2020-08-02,True,SUP0343,324
P00141,Marks & Spencer Socks White,Innerwear,Socks,Marks & Spencer,Mustard,S,minimalist,Festive,484,678.64,175.68,2022-07-05,True,SUP0037,1273
P00142,Allen Solly Coat Grey,Outerwear,Coat,Allen Solly,Grey,L,formal,Monsoon,8743,10701.71,4079.24,2024-05-23,True,SUP0394,1141
P00143,Tommy Hilfiger Trousers Black,Bottoms,Trousers,Tommy Hilfiger,Cream,XL,casual,Festive,2211,2602.46,1160.05,2023-12-10,True,SUP0283,1114
P00144,Global Desi Blouse Mustard,Tops,Blouse,Global Desi,Mustard,XS,luxury,Summer,2008,2328.36,925.35,2023-04-04,True,SUP0170,1395
P00145,All About You Wallet Purple,Accessories,Wallet,All About You,Maroon,S,minimalist,Winter,4382,6307.74,1847.38,2021-03-10,True,SUP0022,840
P00146,The Souled Store Belt Teal,Accessories,Belt,The Souled Store,Green,XL,ethnic,All Season,5368,7035.54,2510.29,2020-05-09,True,SUP0010,913
P00147,Nykaa Fashion Sneakers Maroon,Footwear,Sneakers,Nykaa Fashion,Coral,Free Size,ethnic,All Season,1376,1683.04,697.54,2024-04-23,True,SUP0122,1917
P00148,Reebok Running Shoes Navy,Activewear,Running Shoes,Reebok,Yellow,XXL,minimalist,Monsoon,3981,4699.41,1601.07,2021-04-08,True,SUP0190,1683
P00149,Dressberry Gym Vest Maroon,Activewear,Gym Vest,Dressberry,Navy,M,luxury,Monsoon,822,1091.1,475.35,2022-12-01,True,SUP0330,296
P00150,Wrangler Blazer Green,Outerwear,Blazer,Wrangler,White,XXL,sporty,Monsoon,6833,9254.74,3033.92,2022-03-14,True,SUP0245,416
P00151,Blackberrys Blazer Grey,Outerwear,Blazer,Blackberrys,Maroon,XXL,party,Monsoon,9047,9976.79,4929.64,2020-12-29,True,SUP0093,390
P00152,Louis Philippe Sunglasses Cream,Accessories,Sunglasses,Louis Philippe,Cream,L,formal,Winter,7180,8144.1,2649.28,2024-01-05,True,SUP0024,584
P00153,Uniqlo Blazer Maroon,Outerwear,Blazer,Uniqlo,Black,Free Size,sporty,All Season,6803,7817.4,3904.82,2022-12-19,True,SUP0177,1852
P00154,All About You Wallet Yellow,Accessories,Wallet,All About You,Brown,Free Size,casual,All Season,4682,5254.02,2647.45,2023-02-21,True,SUP0173,1583
P00155,Forever 21 Maxi Dress Brown,Dresses,Maxi Dress,Forever 21,White,XXL,bohemian,Summer,4545,6205.56,2296.06,2023-06-25,False,SUP0121,1839
P00156,Mango Sports Shoes Grey,Footwear,Sports Shoes,Mango,White,XL,party,All Season,1543,1969.06,544.32,2023-06-22,True,SUP0073,1365
P00157,All About You T-Shirt Olive,Tops,T-Shirt,All About You,Beige,Free Size,party,All Season,349,461.52,183.29,2022-01-11,True,SUP0034,1167
P00158,Dressberry Kurta Beige,Ethnic Wear,Kurta,Dressberry,Olive,XS,streetwear,All Season,770,847.83,419.93,2023-10-05,True,SUP0182,959
P00159,Cover Story Briefs Red,Innerwear,Briefs,Cover Story,Cream,Free Size,ethnic,Summer,563,697.91,205.34,2024-01-03,False,SUP0085,841
P00160,AND Denim Jacket Green,Outerwear,Denim Jacket,AND,White,S,party,Winter,5243,7163.58,2394.97,2020-06-13,True,SUP0149,118
P00161,FabIndia Loafers Purple,Footwear,Loafers,FabIndia,Grey,XS,formal,Monsoon,5200,7283.99,3084.44,2020-05-18,True,SUP0179,1354
P00162,Allen Solly Churidar White,Ethnic Wear,Churidar,Allen Solly,White,M,bohemian,All Season,1493,2156.66,583.55,2023-08-10,True,SUP0060,148
P00163,Libas Puffer Jacket Brown,Outerwear,Puffer Jacket,Libas,Orange,XL,bohemian,Festive,12053,13345.67,5656.85,2021-08-30,False,SUP0095,1036
P00164,Blackberrys Oxford Olive,Footwear,Oxford,Blackberrys,Mint,Free Size,minimalist,Winter,4530,6534.64,2202.07,2020-10-03,True,SUP0019,888
P00165,Wrangler Joggers Mustard,Bottoms,Joggers,Wrangler,Coral,XXL,sporty,Winter,1803,2603.52,673.41,2020-11-18,True,SUP0247,1981
P00166,Lee Evening Gown Coral,Dresses,Evening Gown,Lee,Beige,XL,bohemian,Winter,7160,10619.91,3371.14,2020-11-08,True,SUP0198,1422
P00167,All About You Watch Blue,Accessories,Watch,All About You,Mint,M,luxury,All Season,2826,3180.12,1025.12,2020-02-14,True,SUP0380,246
P00168,Arrow Boxers Yellow,Innerwear,Boxers,Arrow,Pink,L,party,All Season,161,206.65,58.38,2022-01-27,True,SUP0346,1320
P00169,Calvin Klein Oxford Pink,Footwear,Oxford,Calvin Klein,Coral,XXL,office,Summer,699,780.97,417.93,2021-09-17,True,SUP0202,939
P00170,Tommy Hilfiger Joggers Olive,Bottoms,Joggers,Tommy Hilfiger,Grey,XL,streetwear,Festive,952,1424.31,498.61,2023-06-30,True,SUP0135,732
P00171,LIFE Casual Dress Pink,Dresses,Casual Dress,LIFE,Black,Free Size,office,Festive,3806,4503.18,1359.38,2021-02-19,True,SUP0006,1762
P00172,Peter England Socks Mustard,Innerwear,Socks,Peter England,Pink,Free Size,luxury,All Season,512,755.81,277.11,2022-07-11,True,SUP0100,476
P00173,Mamaearth Windbreaker Mint,Outerwear,Windbreaker,Mamaearth,Teal,XL,office,Winter,4243,6279.72,1714.61,2023-03-19,True,SUP0372,118
